,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,game-center-tools,Python
36,GCGC,Jupyter Notebook
37,homebrew-apple,Ruby
38,HomeKitADK,C
39,indexstore-db,C++
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-afv,Python
48,ml-aim,Python
49,ml-all-pairs,Python
50,ml-ane-transformers,Python
51,ml-aspanformer,Python
52,ml-autofocusformer,Python
53,ml-autofocusformer-segmentation,Python
54,ml-batchquant,Python
55,ml-behavioral-testing-for-mt,
56,ml-calibration,Jupyter Notebook
57,ml-capsules-inverted-attention-routing,Python
58,ml-cifar-10-faster,Python
59,ml-code-switched-speech-translation,Python
60,ml-codeswitching-translations,
61,ml-collegial-ensembles,Python
62,ml-core,Python
63,ml-covid-mobility,R
64,ml-cread,Python
65,ml-cvnets,Python
66,ml-cvpr2019-swd,Python
67,ml-dab,Python
68,ml-data-parameters,Python
69,ml-delphi,
70,ml-destseg,Python
71,ml-dms-dataset,Python
72,ml-dprecs,Jupyter Notebook
73,ml-dr,Python
74,ml-duet,Python
75,ml-entity-deduction-arena,Python
76,ml-entropy-reconstruction,Python
77,ml-envmapnet,Python
78,ml-equivariant-neural-rendering,Jupyter Notebook
79,ml-facelit,Python
80,ml-fastvit,Python
81,ml-fct,Python
82,ml-ferret,Python
83,ml-finerecon,Python
84,ml-flair,Jupyter Notebook
85,ml-gaudi,
86,ml-gmpi,Python
87,ml-gsn,Python
88,ml-heart-rate-models,Python
89,ml-hierarchical-confusion-matrix,TypeScript
90,ml-hypersim,Python
91,ml-interspeech2022-phi_rtn,
92,ml-kge,Python
93,ml-knowledge-conflicts,Python
94,ml-live-pose,
95,ml-llarp,Python
96,ml-lucid-datagen,Python
97,ml-mgie,Python
98,ml-mkqa,Python
99,ml-mobileclip,Python
100,ml-mobileone,Swift
101,ml-multiple-futures-prediction,Python
102,ml-ncg,Python
103,ml-neilf,Python
104,ml-neilfpp,Python
105,ml-neuman,Python
106,ml-no-token-left-behind,Jupyter Notebook
107,ml-np-rasp,Python
108,ml-nvas3d,Python
109,ml-pointconvformer,Python
110,ml-pointersect,Python
111,ml-probabilistic-attention,Python
112,ml-projunit,Python
113,ml-qrecc,Python
114,ml-quant,Python
115,ml-reed,Python
116,ml-rlgrad,Python
117,ml-robust-expert-augmentations,Python
118,ml-rpm-bench,Python
119,ml-sad,Python
120,ml-selfcond,Python
121,ml-shuffling-amplification,Python
122,ml-sigma-reparam,Python
123,ml-spatial-librispeech,
124,ml-spin,Python
125,ml-stable-diffusion,Python
126,ml-stabledreamer,
127,ml-stuttering-events-dataset,Python
128,ml-symphony,Svelte
129,ml-tic-clip,
130,ml-tract,Python
131,ml-transcript-translation-consistency-ratings,
132,ml-translate-vis,TypeScript
133,ml-tree-dst,Python
134,ml-tune-mode-convbn,Python
135,ml-upscale,Jupyter Notebook
136,ml-uwac,Python
137,ml-veclip,Jupyter Notebook
138,ml-vfi-smiff,Python
139,ml-vision-transformers-ane,Python
140,openjdk,Java
141,password-manager-resources,JavaScript
142,pfl-research,Python
143,pkl,Java
144,pkl-go,Go
145,pkl-go-examples,Go
146,pkl-intellij,Kotlin
147,pkl-jvm-examples,Groovy
148,pkl-k8s,Kotlin
149,pkl-k8s-examples,
150,pkl-lang.org,JavaScript
151,pkl-neovim,Scheme
152,pkl-package-docs,Kotlin
153,pkl-pantry,Kotlin
154,pkl-project-commons,
155,pkl-spring,Java
156,pkl-swift,Swift
157,pkl-swift-examples,Swift
158,pkl-vscode,TypeScript
159,pkl.tmbundle,
160,sample-backyard-birds,Swift
161,sample-cloudkit-coredatasync,Swift
162,sample-cloudkit-encryption,Swift
163,sample-cloudkit-privatedb,Swift
164,sample-cloudkit-privatedb-sync,Swift
165,sample-cloudkit-queries,Swift
166,sample-cloudkit-sharing,Swift
167,sample-cloudkit-sync-engine,Swift
168,sample-cloudkit-tooling,JavaScript
169,sample-cloudkit-zonesharing,Swift
170,sample-food-truck,Swift
171,servicetalk,Java
172,sourcekit-lsp,Swift
173,swift,C++
174,swift-3-api-guidelines-review,Swift
175,swift-algorithms,Swift
176,swift-aoc-starter-example,Swift
177,swift-argument-parser,Swift
178,swift-asn1,Swift
179,swift-async-algorithms,Swift
180,swift-async-dns-resolver,Swift
181,swift-atomics,Swift
182,swift-book,Markdown
183,swift-cassandra-client,Swift
184,swift-certificates,Swift
185,swift-clang,C++
186,swift-clang-tools-extra,C++
187,swift-cluster-membership,Swift
188,swift-cmake-examples,CMake
189,swift-cmark,C
190,swift-collections,Swift
191,swift-collections-benchmark,Swift
192,swift-community-hosted-continuous-integration,
193,swift-compiler-rt,C
194,swift-corelibs-foundation,Swift
195,swift-corelibs-libdispatch,C
196,swift-corelibs-xctest,Swift
197,swift-crypto,C
198,swift-distributed-actors,Swift
199,swift-distributed-tracing,Swift
200,swift-distributed-tracing-baggage-core,Swift
201,swift-distributed-tracing-extras,Swift
202,swift-docc,Swift
203,swift-docc-plugin,Swift
204,swift-docc-render,JavaScript
205,swift-docc-render-artifact,
206,swift-docc-symbolkit,Swift
207,swift-docker,Dockerfile
208,swift-driver,Swift
209,swift-evolution,Markdown
210,swift-evolution-staging,Swift
211,swift-experimental-string-processing,Swift
212,swift-format,Swift
213,swift-foundation,Swift
214,swift-foundation-icu,C
215,swift-getting-started-cli,Swift
216,swift-getting-started-package-library,Swift
217,swift-http-structured-headers,Swift
218,swift-http-types,Swift
219,swift-installer-scripts,CMake
220,swift-integration-tests,Python
221,swift-internals,HTML
222,swift-issues,
223,swift-libcxx,C++
224,swift-llbuild,C++
225,swift-llbuild2,Swift
226,swift-lldb,C++
227,swift-llvm,LLVM
228,swift-llvm-bindings,Swift
229,swift-lmdb,C
230,swift-log,Swift
231,swift-markdown,Swift
232,swift-metrics,Swift
233,swift-metrics-extras,Swift
234,swift-mmio,Swift
235,swift-nio,Swift
236,swift-nio-examples,Swift
237,swift-nio-extras,Swift
238,swift-nio-http2,Swift
239,swift-nio-imap,Swift
240,swift-nio-nghttp2-support,Swift
241,swift-nio-ssh,Swift
242,swift-nio-ssl,C
243,swift-nio-ssl-support,Swift
244,swift-nio-transport-services,Swift
245,swift-nio-zlib-support,Swift
246,swift-numerics,Swift
247,swift-openapi-generator,Swift
248,swift-openapi-runtime,Swift
249,swift-openapi-urlsession,Swift
250,swift-org-website,SCSS
251,swift-package-collection-generator,Swift
252,swift-package-manager,Swift
253,swift-package-registry-compatibility-test-suite,Swift
254,swift-protobuf,Swift
255,swift-protobuf-plugin,
256,swift-protobuf-test-conformance,
257,swift-sample-distributed-actors-transport,Swift
258,swift-sdk-generator,Swift
259,swift-se0270-range-set,Swift
260,swift-se0288-is-power,Swift
261,swift-service-context,Swift
262,swift-service-discovery,Swift
263,swift-source-compat-suite,Python
264,swift-standard-library-preview,Swift
265,swift-statsd-client,Swift
266,swift-stress-tester,Swift
267,swift-syntax,Swift
268,swift-system,Swift
269,swift-testing,Swift
270,swift-tools-support-async,Swift
271,swift-tools-support-core,Swift
272,swift-xcode-playground-support,Swift
273,swiftpm-on-llbuild2,Swift
274,tensorflow_macos,Shell
275,tree-sitter-pkl,C
276,turicreate,C++
277,unityplugins,C#
278,VideoFlashingReduction,Mathematica
279,vqg-multimodal-assistant,Python
